iso3_code,year,value,unit,source,entity_name
DZA,2000,71.96343231,percent of health expenditure,Domestic government,Algeria
DZA,2001,76.22702026,percent of health expenditure,Domestic government,Algeria
DZA,2002,75.27867126,percent of health expenditure,Domestic government,Algeria
DZA,2003,76.69419860999999,percent of health expenditure,Domestic government,Algeria
DZA,2004,71.35350036999999,percent of health expenditure,Domestic government,Algeria
DZA,2005,69.29087067,percent of health expenditure,Domestic government,Algeria
DZA,2006,68.46268463,percent of health expenditure,Domestic government,Algeria
DZA,2007,69.78764343,percent of health expenditure,Domestic government,Algeria
DZA,2008,71.99542235999999,percent of health expenditure,Domestic government,Algeria
DZA,2009,70.88406372,percent of health expenditure,Domestic government,Algeria
DZA,2010,69.48218536,percent of health expenditure,Domestic government,Algeria
DZA,2011,70.61742401000001,percent of health expenditure,Domestic government,Algeria
DZA,2012,71.45687866,percent of health expenditure,Domestic government,Algeria
DZA,2013,69.36451721,percent of health expenditure,Domestic government,Algeria
DZA,2014,70.13730621,percent of health expenditure,Domestic government,Algeria
DZA,2015,68.50351715,percent of health expenditure,Domestic government,Algeria
DZA,2016,65.71156311000001,percent of health expenditure,Domestic government,Algeria
DZA,2017,64.63075256,percent of health expenditure,Domestic government,Algeria
DZA,2018,64.8088913,percent of health expenditure,Domestic government,Algeria
DZA,2019,60.47244644,percent of health expenditure,Domestic government,Algeria
DZA,2020,58.738437649999995,percent of health expenditure,Domestic government,Algeria
DZA,2021,57.329437260000006,percent of health expenditure,Domestic government,Algeria
DZA,2022,47.39730072,percent of health expenditure,Domestic government,Algeria
AGO,2000,58.20957183999999,percent of health expenditure,Domestic government,Angola
AGO,2001,45.64084625,percent of health expenditure,Domestic government,Angola
AGO,2002,39.30446243,percent of health expenditure,Domestic government,Angola
AGO,2003,41.30799866,percent of health expenditure,Domestic government,Angola
AGO,2004,42.51447678000001,percent of health expenditure,Domestic government,Angola
AGO,2005,44.83417511,percent of health expenditure,Domestic government,Angola
AGO,2006,53.77399445,percent of health expenditure,Domestic government,Angola
AGO,2007,57.893791199999995,percent of health expenditure,Domestic government,Angola
AGO,2008,64.35443115000001,percent of health expenditure,Domestic government,Angola
AGO,2009,67.67429352000002,percent of health expenditure,Domestic government,Angola
AGO,2010,62.1162796,percent of health expenditure,Domestic government,Angola
AGO,2011,64.75705719,percent of health expenditure,Domestic government,Angola
AGO,2012,65.25454712000001,percent of health expenditure,Domestic government,Angola
AGO,2013,62.029800420000015,percent of health expenditure,Domestic government,Angola
AGO,2014,54.15326309,percent of health expenditure,Domestic government,Angola
AGO,2015,47.36523056,percent of health expenditure,Domestic government,Angola
AGO,2016,44.13825607,percent of health expenditure,Domestic government,Angola
AGO,2017,46.27865218999999,percent of health expenditure,Domestic government,Angola
AGO,2018,42.542812350000005,percent of health expenditure,Domestic government,Angola
AGO,2019,45.39327240000001,percent of health expenditure,Domestic government,Angola
AGO,2020,51.92151642,percent of health expenditure,Domestic government,Angola
AGO,2021,55.27503586,percent of health expenditure,Domestic government,Angola
AGO,2022,51.60068893,percent of health expenditure,Domestic government,Angola
BEN,2000,38.58332062,percent of health expenditure,Domestic government,Benin
BEN,2001,37.37374115,percent of health expenditure,Domestic government,Benin
BEN,2002,31.33201981000001,percent of health expenditure,Domestic government,Benin
BEN,2003,33.958881379999994,percent of health expenditure,Domestic government,Benin
BEN,2004,35.9318428,percent of health expenditure,Domestic government,Benin
BEN,2005,33.147789,percent of health expenditure,Domestic government,Benin
BEN,2006,32.88233948,percent of health expenditure,Domestic government,Benin
BEN,2007,32.937587740000005,percent of health expenditure,Domestic government,Benin
BEN,2008,28.000413889999994,percent of health expenditure,Domestic government,Benin
BEN,2009,30.040433880000005,percent of health expenditure,Domestic government,Benin
BEN,2010,24.994091030000003,percent of health expenditure,Domestic government,Benin
BEN,2011,21.7378273,percent of health expenditure,Domestic government,Benin
BEN,2012,24.28330421,percent of health expenditure,Domestic government,Benin
BEN,2013,26.653244019999995,percent of health expenditure,Domestic government,Benin
BEN,2014,21.378658289999997,percent of health expenditure,Domestic government,Benin
BEN,2015,21.656772609999997,percent of health expenditure,Domestic government,Benin
BEN,2016,16.83768272,percent of health expenditure,Domestic government,Benin
BEN,2017,17.07419395,percent of health expenditure,Domestic government,Benin
BEN,2018,15.56364155,percent of health expenditure,Domestic government,Benin
BEN,2019,12.4133234,percent of health expenditure,Domestic government,Benin
BEN,2020,19.121047969999996,percent of health expenditure,Domestic government,Benin
BEN,2021,12.31288433,percent of health expenditure,Domestic government,Benin
BEN,2022,19.23644447,percent of health expenditure,Domestic government,Benin
BWA,2000,53.27193832,percent of health expenditure,Domestic government,Botswana
BWA,2001,55.06237792999999,percent of health expenditure,Domestic government,Botswana
BWA,2002,56.46030807000001,percent of health expenditure,Domestic government,Botswana
BWA,2003,56.17714310000001,percent of health expenditure,Domestic government,Botswana
BWA,2004,56.38233566000001,percent of health expenditure,Domestic government,Botswana
BWA,2005,54.434711459999995,percent of health expenditure,Domestic government,Botswana
BWA,2006,57.24171066000001,percent of health expenditure,Domestic government,Botswana
BWA,2007,56.68532562,percent of health expenditure,Domestic government,Botswana
BWA,2008,62.19720078,percent of health expenditure,Domestic government,Botswana
