iso_code,year,disease,value,income_group,country_name,source
AFG,2021,HIV/AIDS and other STDs,65923.34805073342,Low income,Afghanistan,Domestic government
AFG,2021,HIV/AIDS and other STDs,13529752.223224096,Low income,Afghanistan,External aid
AFG,2021,HIV/AIDS and other STDs,25645729.984892625,Low income,Afghanistan,Out-of-pocket & other private *
ARM,2021,HIV/AIDS and other STDs,4806815.104169711,Upper middle income,Armenia,Domestic government
ARM,2021,HIV/AIDS and other STDs,198.49748530598407,Upper middle income,Armenia,External aid
ARM,2021,HIV/AIDS and other STDs,8654490.359340904,Upper middle income,Armenia,Out-of-pocket & other private *
BLR,2020,HIV/AIDS and other STDs,11106571.024565633,Upper middle income,Belarus,Domestic government
BLR,2020,HIV/AIDS and other STDs,2916216.935439622,Upper middle income,Belarus,External aid
BLR,2020,HIV/AIDS and other STDs,776187.3151611228,Upper middle income,Belarus,Out-of-pocket & other private *
BEN,2018,HIV/AIDS and other STDs,4402270.074524642,Lower middle income,Benin,Domestic government
BEN,2018,HIV/AIDS and other STDs,23638716.245654907,Lower middle income,Benin,External aid
BEN,2018,HIV/AIDS and other STDs,327199.499639386,Lower middle income,Benin,Out-of-pocket & other private *
BWA,2019,HIV/AIDS and other STDs,114921249.45834532,Upper middle income,Botswana,Domestic government
BWA,2019,HIV/AIDS and other STDs,103216467.99572927,Upper middle income,Botswana,External aid
BWA,2019,HIV/AIDS and other STDs,13258875.88548159,Upper middle income,Botswana,Out-of-pocket & other private *
BFA,2021,HIV/AIDS and other STDs,16405478.30476211,Low income,Burkina Faso,Domestic government
BFA,2021,HIV/AIDS and other STDs,23975564.963029515,Low income,Burkina Faso,External aid
BFA,2021,HIV/AIDS and other STDs,1149848.879298574,Low income,Burkina Faso,Out-of-pocket & other private *
BDI,2020,HIV/AIDS and other STDs,436915.7769148215,Low income,Burundi,Domestic government
BDI,2020,HIV/AIDS and other STDs,33097667.469713114,Low income,Burundi,External aid
BDI,2020,HIV/AIDS and other STDs,113773.66462061471,Low income,Burundi,Out-of-pocket & other private *
CPV,2019,HIV/AIDS and other STDs,197683.3594398198,Lower middle income,Cabo Verde,Domestic government
CPV,2019,HIV/AIDS and other STDs,4145668.1308888267,Lower middle income,Cabo Verde,External aid
CPV,2014,HIV/AIDS and other STDs,43693.76444849301,Lower middle income,Cabo Verde,Out-of-pocket & other private *
KHM,2019,HIV/AIDS and other STDs,2553767.8496406893,Lower middle income,Cambodia,Domestic government
KHM,2019,HIV/AIDS and other STDs,23329597.95394179,Lower middle income,Cambodia,External aid
KHM,2019,HIV/AIDS and other STDs,2147190.2634344464,Lower middle income,Cambodia,Out-of-pocket & other private *
CMR,2019,HIV/AIDS and other STDs,12132495.359779969,Lower middle income,Cameroon,Domestic government
CMR,2019,HIV/AIDS and other STDs,85087851.63546844,Lower middle income,Cameroon,External aid
CMR,2019,HIV/AIDS and other STDs,4479039.606995361,Lower middle income,Cameroon,Out-of-pocket & other private *
