year,indicator,High income,Lower middle income,Upper middle income,Low income,Africa,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,Congo Republic,Cote d'Ivoire,DR Congo,Equatorial Guinea,Eswatini,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Madagascar,Malawi,Mali,Mauritania,Mauritius,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,South Africa,South Sudan,Togo,Uganda,Tanzania,Zambia,Antigua and Barbuda,Argentina,Bahamas,Barbados,Belize,Bolivia,Brazil,Canada,Chile,Colombia,Costa Rica,Dominica,Dominican Republic,Ecuador,El Salvador,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Mexico,Nicaragua,Panama,Paraguay,Peru,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Suriname,Trinidad and Tobago,United States,Uruguay,Afghanistan,Bahrain,Djibouti,Egypt,Iran,Iraq,Jordan,Kuwait,Lebanon,Libya,Morocco,Oman,Pakistan,Qatar,Saudi Arabia,Sudan,Tunisia,United Arab Emirates,Yemen,Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyz Republic,Latvia,Lithuania,Luxembourg,Malta,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Moldova,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Türkiye,Turkmenistan,Ukraine,United Kingdom,Uzbekistan,Bangladesh,Bhutan,India,Indonesia,Maldives,Myanmar,Nepal,Sri Lanka,Thailand,Timor-Leste,Australia,Brunei Darussalam,Cambodia,China,Fiji,Japan,Kiribati,Laos,Malaysia,Marshall Islands,"Micronesia, Fed. Sts.",Mongolia,Nauru,New Zealand,Palau,Papua New Guinea,Philippines,South Korea,Samoa,Singapore,Solomon Islands,Tonga,Tuvalu,Vanuatu,Vietnam,Africa (Low and Lower middle income)
2000-01-01,Total spending ($US billion),3896.533,113.484,433.183,,55.61,3.291,0.541,0.206,0.581,0.181,0.08,0.045,0.845,0.101,0.207,0.053,0.151,2.11,0.281,0.045,0.116,0.749,0.369,0.074,0.684,0.3,0.034,1.633,0.084,0.345,0.121,0.415,0.146,0.182,0.094,0.636,0.245,4.556,0.09,0.024,0.42,0.036,0.1,19.301,,0.106,0.614,0.626,0.299,0.055,27.805,0.422,0.283,0.044,0.839,89.593,113.541,10.604,8.056,1.95,0.025,1.759,1.82,1.511,0.042,2.273,0.08,0.636,0.842,0.766,42.603,0.384,1.621,1.191,4.016,0.029,0.077,0.024,0.122,0.672,1940.414,3.424,,0.592,0.045,8.634,7.484,,1.832,1.702,1.885,1.239,2.375,1.299,3.682,0.729,18.688,0.875,1.325,4.807,1.104,0.474,0.153,0.18,34.098,0.371,1.57,35.084,1.009,2.509,0.916,9.613,24.93,0.926,16.13,225.57,0.444,336.329,15.641,7.501,1.342,10.603,15.58,158.935,2.543,0.187,1.099,1.819,2.899,0.529,,59.66,0.742,28.073,17.076,19.728,0.335,5.559,48.046,,1.914,2.999,2.984,76.332,29.947,51.077,0.083,13.763,0.546,7.022,166.992,0.96,2.198,0.032,37.455,8.024,0.156,0.329,0.492,1.441,7.919,,73.31,0.306,0.532,140.109,0.122,314.677,0.013,0.211,3.927,0.031,0.028,0.246,,10.651,0.02,0.245,4.536,33.016,0.024,5.53,0.039,0.011,0.009,0.02,4.194,33.221
2001-01-01,Total spending ($US billion),4108.087,126.008,450.542,,60.201,3.729,1.323,0.243,0.62,0.189,0.11,0.052,0.825,0.095,0.224,0.049,0.209,2.075,0.492,0.078,0.13,0.871,0.409,0.066,0.807,0.321,0.039,1.763,0.111,0.377,0.102,0.396,0.153,0.192,0.14,0.68,0.267,4.848,0.091,0.026,0.454,0.038,0.116,19.245,,0.11,0.664,0.823,0.364,0.061,27.07,0.447,0.286,0.054,0.936,93.182,120.953,11.09,8.699,1.99,0.022,1.802,2.163,1.532,0.043,2.636,0.079,0.596,0.819,0.708,45.785,0.414,1.614,1.1,4.322,0.028,0.078,0.025,0.083,0.664,2065.294,3.503,,0.634,0.043,9.805,8.375,,1.97,2.468,1.91,1.504,2.639,1.367,3.593,0.895,19.558,0.905,1.389,5.057,1.214,0.512,0.163,0.218,34.775,0.371,1.769,36.139,0.983,3.066,0.959,10.187,26.203,0.908,16.921,232.953,0.464,343.116,17.961,7.862,1.373,12.1,16.578,165.698,2.408,0.191,1.241,1.88,3.218,0.557,,63.84,0.68,29.795,18.467,20.174,0.373,6.082,52.73,0.103,2.149,3.113,3.11,78.981,32.759,53.741,0.099,13.784,0.777,8.243,176.274,1.024,2.268,0.039,41.478,9.508,0.168,0.398,0.633,1.395,7.993,,76.584,0.315,0.595,143.183,0.105,325.095,0.019,0.222,4.2,0.028,0.031,0.229,,11.15,0.019,0.279,4.357,38.582,0.023,5.175,0.049,0.014,0.007,0.02,5.24,37.435
2002-01-01,Total spending ($US billion),4354.243,128.161,480.851,8.286,61.212,3.825,1.117,0.238,0.697,0.203,0.106,0.054,0.896,0.104,0.334,0.052,0.164,2.002,0.497,0.214,0.146,0.882,0.433,0.071,0.768,0.37,0.035,1.809,0.101,0.395,0.135,0.451,0.174,0.213,0.175,0.728,0.286,4.338,0.097,0.026,0.488,0.033,0.165,18.709,,0.115,0.671,0.977,0.464,0.06,21.302,0.446,0.306,0.059,0.973,97.681,127.929,11.625,8.666,2.184,0.021,1.923,2.698,1.556,0.049,2.711,0.083,0.551,0.894,0.656,48.153,0.436,1.684,0.933,4.768,0.029,0.082,0.027,0.12,0.833,2232.369,3.193,0.556,0.691,0.052,10.325,8.159,,2.036,2.492,1.736,1.748,2.902,1.394,3.819,1.015,18.102,0.941,1.483,5.666,1.233,0.512,0.174,0.409,35.827,0.402,1.837,37.515,1.008,3.349,1.045,10.901,27.117,0.954,18.104,243.282,0.533,351.506,19.24,8.59,1.484,13.375,16.331,168.895,2.754,0.205,1.326,2.049,3.519,0.628,,68.66,0.739,33.875,20.044,20.703,0.478,6.723,58.167,0.099,2.672,3.363,3.278,81.515,34.791,56.072,0.104,15.197,0.775,9.084,187.053,1.045,2.57,0.039,42.828,9.289,0.19,0.526,0.654,1.44,9.35,,81.094,0.325,0.646,160.99,0.112,330.301,0.019,0.204,4.415,0.025,0.029,0.247,,12.075,0.021,0.336,4.186,38.828,0.028,5.711,0.073,0.015,0.005,0.021,4.523,38.436
2003-01-01,Total spending ($US billion),4586.246,141.411,510.247,9.356,69.573,3.936,1.226,0.248,0.707,0.232,0.107,0.06,0.912,0.106,0.29,0.053,0.186,1.833,0.769,0.163,0.176,0.898,0.468,0.064,0.791,0.334,0.031,1.965,0.096,0.441,0.176,0.498,0.188,0.225,0.195,0.772,0.287,9.639,0.22,0.033,0.561,0.037,0.162,20.309,,0.124,0.642,1.189,0.505,0.067,21.643,0.465,0.357,0.063,1.061,93.026,132.509,12.245,9.285,2.312,0.023,1.67,3.35,1.558,0.046,2.846,0.085,0.587,1.032,0.605,55.88,0.474,1.669,1.004,4.612,0.03,0.084,0.027,0.117,0.841,2378.434,3.198,0.572,0.776,0.062,10.1,9.442,2.071,2.005,2.583,1.649,1.702,3.1,1.363,3.481,1.502,18.856,1.179,1.579,6.003,1.524,0.563,0.175,0.44,36.751,0.441,2.016,41.76,1.17,3.584,1.077,11.926,27.851,1.121,19.218,246.768,0.612,356.516,20.888,10.196,1.568,14.47,16.406,168.4,3.1,0.278,1.367,2.281,3.719,0.67,,72.008,0.758,34.997,20.357,21.299,0.483,8.076,58.399,0.091,2.816,3.508,3.407,93.36,36.059,57.514,0.122,15.92,1.101,10.866,203.373,1.099,2.73,0.038,43.671,11.049,0.168,0.549,0.666,1.378,9.747,0.06,84.708,0.344,0.663,178.53,0.112,341.494,0.016,0.263,5.118,0.025,0.036,0.21,,12.444,0.023,0.324,5.131,42.732,0.028,6.412,0.055,0.014,0.006,0.02,4.945,45.191
2004-01-01,Total spending ($US billion),4755.01,148.466,540.965,10.3,72.066,4.071,1.521,0.269,0.681,0.325,0.149,0.061,0.928,0.104,0.387,0.054,0.186,1.854,0.962,0.169,0.194,0.883,0.446,0.07,0.815,0.342,0.038,2.146,0.096,0.487,0.228,0.522,0.18,0.244,0.229,0.841,0.302,9.761,0.256,0.032,0.624,0.034,0.177,20.924,,0.129,0.742,1.377,0.495,0.065,24.715,0.472,0.396,0.064,1.034,97.615,137.446,12.449,9.871,2.296,0.024,1.673,3.635,1.644,0.047,2.987,0.091,0.562,1.09,0.698,59.373,0.497,1.893,1.05,4.675,0.029,0.082,0.028,0.141,0.929,2477.717,2.898,0.631,0.747,0.052,9.776,10.194,4.136,2.16,2.431,1.635,1.534,3.37,1.3,3.622,1.628,18.336,1.324,1.675,6.12,1.518,0.593,0.181,0.41,38.399,0.47,2.239,44.024,1.357,3.654,1.085,12.168,28.928,1.244,20.291,255.801,0.652,351.861,21.022,10.228,1.621,15.92,17.048,178.047,3.635,0.317,1.677,2.165,4.053,0.684,,73.875,0.745,34.828,21.066,22.651,0.663,9.093,57.685,0.097,3.14,4.319,3.487,97.49,36.775,59.582,0.138,17.115,1.569,11.448,214.708,1.101,2.927,0.045,46.53,10.942,0.196,0.617,0.731,1.61,10.027,0.09,89.983,0.339,0.728,191.063,0.13,351.228,0.019,0.223,5.345,0.03,0.044,0.233,0.004,13.207,0.026,0.345,5.415,44.786,0.031,6.157,0.064,0.018,0.004,0.021,5.527,47.193
2005-01-01,Total spending ($US billion),4914.767,160.055,572.091,11.123,74.716,4.065,1.258,0.272,0.618,0.331,0.166,0.061,0.951,0.108,0.369,0.053,0.181,1.724,0.971,0.163,0.223,0.946,0.39,0.068,1.138,0.298,0.043,2.271,0.088,0.507,0.248,0.554,0.18,0.263,0.291,0.876,0.383,10.067,0.288,0.033,0.523,0.036,0.193,21.786,,0.132,1.009,1.629,0.612,0.067,28.325,0.486,0.381,0.066,1.127,99.63,141.375,12.629,10.979,2.4,0.025,1.859,3.816,1.911,0.051,3.029,0.098,0.558,1.265,0.666,59.535,0.532,1.778,1.05,5.234,0.034,0.083,0.028,0.142,1.012,2569.018,2.91,0.716,0.743,0.058,10.349,10.872,3.252,2.283,2.297,1.554,1.263,3.586,1.166,4.571,1.413,18.464,1.378,1.715,6.046,1.513,0.608,0.202,0.453,38.927,0.498,2.587,44.542,1.413,3.912,1.144,12.951,29.878,1.352,21.446,261.349,0.714,360.197,22.378,10.978,1.649,17.82,18.023,183.325,3.906,0.381,1.747,2.391,4.064,0.761,,75.271,0.708,33.743,21.576,23.116,0.76,9.606,61.522,0.1,3.501,4.762,3.644,102.02,37.925,60.223,0.159,18.594,1.602,12.143,222.08,1.164,3.212,0.043,48.076,13.812,0.205,0.704,0.739,1.643,10.516,0.114,91.542,0.298,0.783,207.002,0.128,363.401,0.018,0.224,5.468,0.04,0.066,0.224,0.006,14.319,0.025,0.339,6.98,49.791,0.034,6.366,0.078,0.018,0.004,0.021,6.279,49.321
2006-01-01,Total spending ($US billion),5091.948,170.005,607.909,12.458,79.804,4.277,1.321,0.289,0.607,0.402,0.202,0.076,0.975,0.115,0.373,0.049,0.195,1.665,1.04,0.173,0.251,1.146,0.41,0.068,1.217,0.273,0.05,2.897,0.107,0.519,0.297,0.609,0.169,0.282,0.299,0.955,0.414,10.244,0.31,0.026,0.548,0.037,0.201,23.055,,0.141,1.202,2.049,0.582,0.07,30.723,0.532,0.391,0.069,1.085,106.338,150.028,12.279,12.235,2.681,0.025,1.862,4.035,1.884,0.048,3.302,0.107,0.598,1.414,0.635,60.444,0.564,2.036,1.144,5.319,0.037,0.093,0.029,0.167,1.083,2663.946,3.024,0.806,0.755,0.068,10.877,11.114,2.84,2.239,2.234,1.811,1.157,4.034,1.088,5.653,1.615,20.093,1.752,1.8,6.656,1.658,0.633,0.188,0.512,39.871,0.622,2.616,45.213,1.513,3.956,1.203,13.441,31.314,1.394,22.3,272.227,0.738,369.16,22.798,11.116,1.677,18.4,18.492,188.788,3.766,0.438,1.913,2.658,4.014,0.793,,77.739,0.716,32.837,22.882,22.764,0.878,9.52,66.473,0.104,3.773,5.372,3.77,107.535,39.213,59.704,0.165,20.91,1.565,13.212,234.587,1.243,3.506,0.049,49.443,15.075,0.231,0.771,0.685,1.755,10.829,0.125,94.985,0.265,0.759,220.54,0.134,369.766,0.019,0.215,6.44,0.04,0.04,0.242,0.007,15.444,0.026,0.345,7.42,55.876,0.036,6.713,0.073,0.022,0.005,0.023,7.109,53.128
2007-01-01,Total spending ($US billion),5248.75,178.935,647.531,13.504,83.914,5.006,1.668,0.273,0.727,0.485,0.22,0.088,1.007,0.127,0.345,0.046,0.202,1.62,1.082,0.201,0.265,1.438,0.438,0.064,1.312,0.279,0.051,3.161,0.148,0.499,0.361,0.607,0.176,0.291,0.31,1.003,0.387,10.095,0.344,0.027,0.512,0.036,0.205,24.392,,0.153,1.229,2.014,0.518,0.074,34.341,0.564,0.368,0.082,1.143,112.14,154.798,13.211,13.38,2.926,0.027,2.048,3.909,1.872,0.052,3.417,0.124,0.657,1.543,0.814,62.843,0.649,2.564,1.206,5.793,0.035,0.102,0.031,0.157,1.129,2756.061,3.118,0.851,0.866,0.068,10.693,11.443,3.73,2.5,2.505,1.956,1.293,4.363,1.195,5.708,1.727,20.142,2.147,1.938,7.579,1.804,0.706,0.189,0.547,41.361,0.749,2.902,46.909,1.666,3.981,1.24,13.78,32.137,1.563,22.913,276.948,0.81,375.369,23.942,10.324,1.776,20.128,19.568,184.767,3.262,0.396,2.033,2.912,4.026,0.771,,80.425,0.678,34.37,24.796,23.079,0.945,10.11,71.874,0.116,4.433,6.237,3.873,112.688,40.279,60.988,0.196,22.356,1.093,13.405,240.645,1.302,3.872,0.051,51.954,17.283,0.256,0.779,0.734,1.861,11.76,0.13,99.548,0.271,0.659,234.565,0.135,379.77,0.019,0.249,6.761,0.033,0.04,0.286,0.012,15.425,0.027,0.371,7.853,60.412,0.035,7.076,0.068,0.018,0.004,0.022,7.715,55.533
2008-01-01,Total spending ($US billion),5398.004,183.956,706.676,13.835,88.164,5.644,2.072,0.259,0.802,0.456,0.195,0.08,1.022,0.113,0.337,0.045,0.253,1.667,1.287,0.203,0.299,1.368,0.393,0.064,1.457,0.273,0.057,3.21,0.163,0.471,0.436,0.608,0.184,0.343,0.358,0.953,0.403,10.229,0.368,0.025,0.545,0.033,0.223,26.057,,0.162,1.211,1.716,0.544,0.07,37.322,0.595,0.396,0.089,1.19,115.115,159.024,14.875,14.566,3.272,0.03,2.358,4.139,1.915,0.054,3.466,0.124,0.694,1.712,0.851,62.735,0.692,2.606,1.289,6.472,0.044,0.099,0.031,0.148,1.026,2812.62,3.624,0.916,0.895,0.064,11.514,11.77,3.85,2.881,2.564,1.949,1.197,4.65,1.082,5.835,1.606,17.849,2.135,2.015,8.926,1.851,0.705,0.205,0.707,42.817,0.852,2.973,49.486,1.789,4.312,1.443,14.965,32.612,1.703,23.834,282.639,0.942,386.507,25.083,10.261,1.813,22.47,20.612,191.913,3.802,0.401,1.992,3.264,4.062,0.77,,84.203,0.713,34.098,28.048,23.983,1.012,11.052,78.126,0.122,4.737,6.383,4.192,120.346,41.161,63.446,0.225,22.452,1.4,12.516,251.276,1.469,4.003,0.046,53.671,16.758,0.385,0.874,0.81,1.989,12.962,0.178,102.55,0.256,0.949,272.811,0.128,390.055,0.023,0.236,6.941,0.03,0.043,0.345,0.021,16.522,0.025,0.326,8.434,65.888,0.035,8.116,0.055,0.025,0.005,0.023,7.678,58.183
2009-01-01,Total spending ($US billion),5631.503,198.22,789.039,15.562,95.571,7.011,2.416,0.289,0.773,0.513,0.241,0.072,1.003,0.137,0.374,0.045,0.271,1.684,1.354,0.326,0.296,1.635,0.529,0.066,1.74,0.295,0.051,3.304,0.192,0.486,0.454,0.66,0.19,0.375,0.467,0.872,0.418,10.737,0.404,0.025,0.613,0.032,0.253,27.455,,0.179,1.389,1.648,0.686,0.061,40.577,0.604,0.415,0.089,1.382,120.474,171.337,15.823,15.743,3.413,0.03,2.485,4.572,1.951,0.051,3.631,0.133,0.685,1.746,0.754,63.125,0.717,2.709,1.41,7.166,0.042,0.1,0.033,0.16,1.466,2919.157,3.696,1.057,1.239,0.066,11.815,14.425,4.897,3.288,3.351,1.925,1.827,5.284,1.613,5.741,2.642,25.245,2.448,2.174,11.696,1.997,0.771,0.209,0.772,43.325,1.257,3.034,52.154,1.652,4.375,1.52,16.338,34.804,1.671,24.058,295.086,1.028,399.571,25.579,9.765,1.76,24.59,21.064,190.699,4.415,0.436,1.866,3.252,4.384,0.768,,87.377,0.708,38.157,29.801,24.562,1.189,10.974,82.888,0.126,4.541,6.895,4.213,125.837,42.071,65.962,0.232,22.503,1.211,12.776,267.091,1.62,4.333,0.051,57.21,18.061,0.311,0.934,0.865,2.167,13.468,0.206,109.388,0.321,1.11,333.0,0.14,407.397,0.022,0.317,7.414,0.028,0.045,0.33,0.011,17.449,0.025,0.38,9.224,71.639,0.039,8.644,0.068,0.015,0.005,0.025,8.324,63.382
