Year,Type,Region,Recipient,Total,African Development Bank,African Development Fund,Arab Bank for Economic Development in Africa,Arab Fund,Asian Development Bank,Asian Infrastructure Investment Bank,Caribbean Development Bank,Central American Bank for Economic Integration,Council of Europe Development Bank,Development Bank of Latin America,European Bank for Reconstruction and Development,European Investment Bank,IDB Invest,Inter-American Development Bank,International Bank for Reconstruction and Development,International Development Association,Islamic Development Bank
2021,Other Official Flows (non Export Credit),South America,Suriname,0.0,,,,,,,,,,,,,,0.0,,,
2021,ODA Grants,North & Central America,Nicaragua,0.7449,,,,,,,,0.5,,,,,,0.24491,,,
2021,ODA Grants,South America,Colombia,3.5517,,,,,,,,,,,,,,3.55173,,,
2021,ODA Grants,South America,Brazil,0.0,,,,,,,,,,0.0,,,,,,,
2021,ODA Grants,South America,Bolivia,0.4399,,,,,,,,,,0.0,,,,0.43993,,,
2021,ODA Grants,South America,Argentina,0.147,,,,,,,,,,0.0,,,,0.14702,,,
2021,ODA Grants,"Other, unspecified","Bilateral, unspecified",0.0,,,,,,,,,,,,,,,,,0.0
2021,ODA Grants,Oceania,Vanuatu,0.9335,,,,,0.93349,,,,,,,,,,,,
2021,ODA Grants,Oceania,Tuvalu,0.4135,,,,,0.28518,,,,,,,,,,,0.12828,
2021,ODA Grants,Oceania,Tonga,4.4162,,,,,3.08934,,,,,,,,,,,1.32681,
2021,ODA Grants,Oceania,Solomon Islands,0.622,,,,,,,,,,,,,,,,0.62195,
2021,ODA Grants,Oceania,Samoa,1.232,,,,,1.23202,,,,,,,,,,,,
2021,ODA Grants,Oceania,"Oceania, regional",0.1286,,,,,0.12862,,,,,,,,,,,,
2021,ODA Grants,Oceania,Marshall Islands,0.2037,,,,,,,,,,,,,,,,0.20366,
2021,ODA Grants,Oceania,Kiribati,0.0612,,,,,0.0,,,,,,,,,,,0.06117,
2021,ODA Grants,North & Central America,Panama,0.1429,,,,,,,,,,,,,,0.1429,,,
2021,ODA Grants,North & Central America,Mexico,1.0164,,,,,,,,1.0,,,,,,0.01636,,,
2021,ODA Grants,South America,Guyana,0.0677,,,,,,,,,,,,,,0.06767,,,
2021,ODA Grants,North & Central America,Jamaica,0.1505,,,,,,,,,,,,,,0.15054,,,
2021,ODA Grants,North & Central America,Honduras,2.0293,,,,,,,,1.448,,,,,,0.58128,,,
2021,ODA Grants,North & Central America,Haiti,13.1769,,,,,,,,,,,,,,0.014,,13.16286,
2021,ODA Grants,North & Central America,Guatemala,0.5383,,,,,,,,0.5,,,,,,0.0383,,,
2021,ODA Grants,North & Central America,El Salvador,1.1392,,,,,,,,1.0,,,,,,0.13924,,,
2021,ODA Grants,North & Central America,Dominican Republic,0.0,,,,,,,,0.0,,,,,,,,,
2021,ODA Grants,North & Central America,Costa Rica,0.6983,,,,,,,,0.5,,,,,,0.19831,,,
2021,ODA Grants,North & Central America,"Caribbean, regional",0.2675,,,,,,,0.26746,,,,,,,,,,
2021,ODA Grants,North & Central America,"Caribbean & Central America, regional",1.1329,,,,,,,,,,,,,,,,1.1329,
2021,ODA Grants,North & Central America,Belize,0.5,,,,,,,,0.5,,,,,,0.0,,,
2021,ODA Grants,North & Central America,"America, regional",1.2823,,,,,,,,,,,,,,1.2823,,,
2021,ODA Grants,Middle East,Yemen,185.3954,,,,0.063,,,,,,,,,,,,185.33241,
2021,ODA Grants,Middle East,West Bank and Gaza Strip,0.0,,,,,,,,,,,,,,,,,0.0
2021,ODA Grants,Middle East,Lebanon,0.105,,,,0.105,,,,,,,,,,,,,
2021,ODA Grants,South America,Ecuador,0.0,,,,,,,,,,,,,,0.0,,,
2021,ODA Grants,South America,Paraguay,0.1556,,,,,,,,,,,,,,0.15556,,,
2021,ODA Loans,Africa,Mozambique,0.996,,0.0,,,,,,,,,,,,,,0.99597,
2021,ODA Loans,Africa,Djibouti,6.8384,,0.0,,,,,,,,,,,,,,6.83845,
2021,ODA Loans,Africa,Mauritania,1.7523,,0.0,,0.0,,,,,,,,,,,,1.75233,
2021,ODA Loans,Africa,Mali,12.3403,,0.0,,,,,,,,,,,,,,12.34033,
2021,ODA Loans,Africa,Malawi,1.1069,,0.0,,,,,,,,,,,,,,1.10689,
2021,ODA Loans,Africa,Madagascar,1.1756,,0.0,,,,,,,,,,,,,,1.17561,
2021,ODA Loans,Africa,Liberia,0.6044,,0.0,,,,,,,,,,,,,,0.60441,
2021,ODA Loans,Africa,Lesotho,14.8771,,0.0,,,,,,,,,,,,,,14.87706,
