year,broad_sector,flow_name,region_name,recipient_name,Total,African Development Bank,African Development Fund,Arab Bank for Economic Development in Africa,Arab Fund,Asian Development Bank,Asian Infrastructure Investment Bank,Caribbean Development Bank,Central American Bank for Economic Integration,Council of Europe Development Bank,Development Bank of Latin America,European Bank for Reconstruction and Development,European Investment Bank,IDB Invest,Inter-American Development Bank,International Bank for Reconstruction and Development,International Development Association,Islamic Development Bank
2016,Health,Equity Investment,Africa,"Africa, regional",3.560463939412807,,,,,,,,,,,,3.560463939412807,,,,,
2016,Health,ODA Grants,Africa,"Africa, regional",20.42276267341108,,18.519411299117145,,,,,,,,,,,,,,1.9033513742939334,
2016,Health,ODA Grants,Africa,Benin,8.607560291891648,,,,,,,,,,,,,,,,8.607560291891648,
2016,Health,ODA Grants,Africa,Burkina Faso,62.02513066873049,,,,,,,,,,,,,,,,62.02513066873049,
2016,Health,ODA Grants,Africa,Burundi,14.86677547836157,,,,,,,,,,,,,,,,14.86677547836157,0.0
2016,Health,ODA Grants,Africa,Central African Republic,2.7175108940972628,,,,,,,,,,,,,,,,2.7175108940972628,
2016,Health,ODA Grants,Africa,Chad,0.939349604896764,,,,,,,,,,,,,,,,0.939349604896764,
2016,Health,ODA Grants,Africa,Comoros,0.3593781534865003,,,,,,,,,,,,,,,,0.3593781534865003,
2016,Health,ODA Grants,Africa,Côte d'Ivoire,1.901179080288404,,,,,,,,,,,,,,,,1.901179080288404,
2016,Health,ODA Grants,Africa,Democratic Republic of the Congo,43.50470227779212,,,,,,,,,,,,,,,,43.50470227779212,
2016,Health,ODA Grants,Africa,Egypt,0.12400918795785125,0.0,,,0.12400918795785125,,,,,,,,,,,,,
2016,Health,ODA Grants,Africa,Gambia,2.054227845676508,,,,,,,,,,,,,,,,2.054227845676508,0.0
2016,Health,ODA Grants,Africa,Ghana,1.8894600412620235,,,,,,,,,,,,,,,,1.8894600412620235,
2016,Health,ODA Grants,Africa,Guinea,4.690649756048385,,,,,,,,,,,,,,,,4.690649756048385,
2016,Health,ODA Grants,Africa,Lesotho,0.19111797694484095,,,,,,,,,,,,,,,,0.19111797694484095,
2016,Health,ODA Grants,Africa,Liberia,4.8758343404951265,,,,,,,,,,,,,,,,4.8758343404951265,
